Species,ModType,Submodel,Param,Estimate,SE
Canis lupus,1-day SOM,Occupancy,Pct. forest cover,0.5402352877385639,0.3566726610967647
Canis lupus,10-day SOM,Detection,Intercept,-2.062456413936848,0.3445430305677282
Canis lupus,10-day SOM,Detection,Canopy height,-0.14959506161386182,0.3156577803902145
Canis lupus,10-day SOM,Detection,Log dist. to road,-0.8978240644133585,0.275448752516404
Canis lupus,10-day SOM,Occupancy,Intercept,0.10088669181826156,0.6515576616501506
Canis lupus,10-day SOM,Occupancy,Max temp.,-0.917778464788136,0.4304126337740264
Canis lupus,10-day SOM,Occupancy,Pct. forest cover,1.1185720232977667,0.6278176846256461
Canis lupus,Clustered,Detection,Intercept,1.2054343845887203,1.0281433472256178
Canis lupus,Clustered,Detection,Canopy height,-1.050810138443348,0.5400020275876907
Canis lupus,Clustered,Detection,Log dist. to road,-6.216912182934611,1.9056635987786612
Canis lupus,Clustered,Occupancy,Intercept,-0.1500215956565701,0.4215567104992299
Canis lupus,Clustered,Occupancy,Max temp.,-0.8524250598095886,0.30669954406632133
Canis lupus,Clustered,Occupancy,Pct. forest cover,0.6206509588669166,0.48801749398562855
Canis lupus,Clustered,Site use,Theta,-2.9240177878433675,0.2973775549387526
Canis lupus,Clustered,Site use,Theta Prime,-1.6801103290795103,0.661424965168626
Dasypus novemcinctus,1-day SOM,Detection,Intercept,-2.2948110481746693,0.06731189189025735
Dasypus novemcinctus,1-day SOM,Detection,Canopy height,0.3147184472046385,0.06390554440526061
Dasypus novemcinctus,1-day SOM,Detection,Log dist. to road,0.4371178129783793,0.06809114304763529
Dasypus novemcinctus,1-day SOM,Occupancy,Intercept,-0.1973878909368408,0.12931038484676122
Dasypus novemcinctus,1-day SOM,Occupancy,Max temp.,0.04169174206953665,0.13443948903645409
Dasypus novemcinctus,1-day SOM,Occupancy,Pct. forest cover,0.04788942162235098,0.13288714343601452
Dasypus novemcinctus,10-day SOM,Detection,Intercept,-0.12143306063536896,0.15628911507027782
Dasypus novemcinctus,10-day SOM,Detection,Canopy height,0.8178330166579634,0.16355480730983676
Dasypus novemcinctus,10-day SOM,Detection,Log dist. to road,0.5712697148422197,0.14327564491548048
Dasypus novemcinctus,10-day SOM,Occupancy,Intercept,0.07430860954959909,0.18804829101394976
Dasypus novemcinctus,10-day SOM,Occupancy,Max temp.,0.2577561808757656,0.20355629810206835
Dasypus novemcinctus,10-day SOM,Occupancy,Pct. forest cover,0.06102525968143403,0.161907761545974
Dasypus novemcinctus,Clustered,Detection,Intercept,-1.6369338666668891,0.1438085850130131
Dasypus novemcinctus,Clustered,Detection,Canopy height,0.3018881476333525,0.0857151113170462
Dasypus novemcinctus,Clustered,Detection,Log dist. to road,0.4520768420438578,0.08636514057846517
Dasypus novemcinctus,Clustered,Occupancy,Intercept,-0.01102880784248539,0.15843974963473262
Dasypus novemcinctus,Clustered,Occupancy,Max temp.,0.02459608145771073,0.15193660416207433
Dasypus novemcinctus,Clustered,Occupancy,Pct. forest cover,0.05062053084035967,0.1446276817209349
Dasypus novemcinctus,Clustered,Site use,Theta,-2.178540541967423,0.2883575043058891
Dasypus novemcinctus,Clustered,Site use,Theta Prime,2.2756350453750827,0.3983415194953012
Didelphis virginiana,1-day SOM,Detection,Intercept,-1.839301253214399,0.02593777809238331
Didelphis virginiana,1-day SOM,Detection,Canopy height,-0.27000905914712053,0.02747022973241773
Didelphis virginiana,1-day SOM,Detection,Log dist. to road,-0.1401412699495257,0.02614754413980433
Didelphis virginiana,1-day SOM,Occupancy,Intercept,-0.6062718706624083,0.06769991879349371
Didelphis virginiana,1-day SOM,Occupancy,Max temp.,-0.07846883671122896,0.07300053166023934
Didelphis virginiana,1-day SOM,Occupancy,Pct. forest cover,0.06635514347404659,0.06751153231763767
Didelphis virginiana,10-day SOM,Detection,Intercept,0.1958119791892761,0.0698823901081469
Didelphis virginiana,10-day SOM,Detection,Canopy height,-0.26692792707561913,0.07934430056766303
Didelphis virginiana,10-day SOM,Detection,Log dist. to road,-0.17772326242190192,0.07222310358905405
Didelphis virginiana,10-day SOM,Occupancy,Intercept,-0.4023821984121143,0.07863442367483366
Didelphis virginiana,10-day SOM,Occupancy,Max temp.,-0.11393326393907768,0.0804721721857399
Didelphis virginiana,10-day SOM,Occupancy,Pct. forest cover,0.04730548499832349,0.07875002612737356
Didelphis virginiana,Clustered,Detection,Intercept,-0.6107994975603417,0.0654044132318871
Didelphis virginiana,Clustered,Detection,Canopy height,-0.3743619370745989,0.04936132595450469
Didelphis virginiana,Clustered,Detection,Log dist. to road,-0.13251377006137657,0.04406693472616428
Didelphis virginiana,Clustered,Occupancy,Intercept,-0.2757198220492699,0.08750775019604697
Didelphis virginiana,Clustered,Occupancy,Max temp.,-0.09517698359120168,0.08143004689167131
Didelphis virginiana,Clustered,Occupancy,Pct. forest cover,0.02035601142908623,0.07825167447271435
Didelphis virginiana,Clustered,Site use,Theta,-2.6963230081587835,0.09769368783126953
Didelphis virginiana,Clustered,Site use,Theta Prime,1.9595392736422277,0.12123624965576468
Glaucomys sabrinus,1-day SOM,Detection,Intercept,-2.333792271256653,0.12046110740076844
Glaucomys sabrinus,1-day SOM,Detection,Canopy height,0.21038179750791708,0.13943906616163873
Glaucomys sabrinus,1-day SOM,Detection,Log dist. to road,-0.5127760944521366,0.13067197575879827
Glaucomys sabrinus,1-day SOM,Occupancy,Intercept,-2.436028847631054,0.23649386679632103
Glaucomys sabrinus,1-day SOM,Occupancy,Max temp.,-0.70433216949687,0.25378633029359127
Glaucomys sabrinus,1-day SOM,Occupancy,Pct. forest cover,-0.7875132862712673,0.2246682693650663
Glaucomys sabrinus,10-day SOM,Detection,Intercept,-0.13804625444441077,0.26197964397320284
Glaucomys sabrinus,10-day SOM,Detection,Canopy height,0.7876413190474446,0.2631022121837185
